#1
# Data Source: Simbench Dataset
# type: measured profile
# load profile: G3-A
# source: Simbench
# scaling: P = 225.7 kW Q = 89.1 kVAr
# timezone: UTC
float p_q(35136,3)
0 0.351171 0.241342 
900 0.349565 0.160782 
1800 0.401338 0.23288 
2700 0.38796 0.135395 
3600 0.38796 0.177707 
4500 0.433177 0.211555 
5400 0.391304 0.199031 
6300 0.394649 0.207494 
7200 0.453244 0.23288 
8100 0.423144 0.139796 
9000 0.354515 0.131334 
9900 0.381271 0.165182 
10800 0.458194 0.15672 
11700 0.406421 0.118471 
12600 0.461538 0.279253 
13500 0.406421 0.194631 
14400 0.424749 0.241342 
15300 0.397993 0.296178 
16200 0.354515 0.186169 
17100 0.374582 0.207494 
18000 0.369632 0.207494 
18900 0.369632 0.194631 
19800 0.341137 0.186169 
20700 0.38796 0.23288 
21600 0.364548 0.203093 
22500 0.346221 0.173645 
23400 0.376321 0.194631 
24300 0.334448 0.165182 
25200 0.377926 0.249805 
26100 0.376321 0.143858 
27000 0.446555 0.224418 
27900 0.396388 0.266729 
28800 0.366288 0.207494 
29700 0.424749 0.194631 
30600 0.384615 0.224418 
31500 0.463278 0.23288 
32400 0.429833 0.190569 
33300 0.471572 0.292116 
34200 0.446555 0.199031 
35100 0.473311 0.258267 
36000 0.448161 0.249805 
36900 0.448161 0.249805 
37800 0.433177 0.211555 
38700 0.466622 0.283653 
39600 0.401338 0.186169 
40500 0.424749 0.182107 
41400 0.434783 0.182107 
42300 0.41311 0.186169 
43200 0.41311 0.203093 
44100 0.431438 0.22848 
45000 0.403077 0.177707 
45900 0.342876 0.118471 
46800 0.451505 0.300578 
47700 0.397993 0.182107 
48600 0.38301 0.186169 
49500 0.411371 0.313102 
50400 0.379666 0.22848 
51300 0.423144 0.224418 
52200 0.476656 0.296178 
53100 0.381271 0.186169 
54000 0.372977 0.249805 
54900 0.381271 0.275191 
55800 0.332843 0.177707 
56700 0.35291 0.194631 
57600 0.397993 0.283653 
58500 0.364548 0.224418 
59400 0.361204 0.199031 
60300 0.391304 0.241342 
61200 0.359599 0.194631 
62100 0.401338 0.215956 
63000 0.456589 0.253866 
63900 0.416455 0.245404 
64800 0.372977 0.199031 
65700 0.377926 0.23288 
66600 0.339532 0.148258 
67500 0.396388 0.258267 
68400 0.362943 0.15672 
69300 0.416455 0.22848 
70200 0.396388 0.245404 
71100 0.379666 0.258267 
72000 0.366288 0.207494 
72900 0.367893 0.23288 
73800 0.339532 0.160782 
74700 0.38796 0.249805 
75600 0.344482 0.186169 
76500 0.341137 0.169244 
77400 0.367893 0.215956 
78300 0.364548 0.23288 
79200 0.371237 0.182107 
80100 0.391304 0.236942 
81000 0.322809 0.148258 
81900 0.29097 0.101547 
82800 0.393043 0.207494 
83700 0.356254 0.15672 
84600 0.314381 0.131334 
85500 0.35291 0.215956 
86400 0.314381 0.131334 
87300 0.294314 0.15672 
88200 0.302742 0.194631 
89100 0.277592 0.148258 
90000 0.32107 0.126933 
90900 0.372977 0.182107 
91800 0.311037 0.186169 
92700 0.279331 0.165182 
93600 0.292709 0.186169 
94500 0.28602 0.08056 
95400 0.29097 0.093084 
96300 0.301003 0.165182 
97200 0.331104 0.067698 
98100 0.311037 0.118471 
99000 0.349565 0.220018 
99900 0.311037 0.211555 
100800 0.29097 0.169244 
101700 0.347826 0.253866 
102600 0.332843 0.139796 
103500 0.322809 0.177707 
104400 0.347826 0.258267 
