#1
# Data Source: Simbench Dataset
# type: measured profile
# load profile: L2-M
# source: Simbench
# scaling: P = 343.4 kW Q = 135.6 kVAr
# timezone: UTC
float p_q(35136,3)
0 0.245895 0.359739
900 0.340968 0.452681
1800 0.352636 0.461428
2700 0.350475 0.472363
3600 0.348747 0.459242
4500 0.359551 0.473456
5400 0.31936 0.352085
6300 0.298185 0.281012
7200 0.30121 0.288666
8100 0.292135 0.273358
9000 0.289542 0.259143
9900 0.288678 0.256957
10800 0.297753 0.276638
11700 0.285653 0.248209
12600 0.297753 0.260237
13500 0.304235 0.241649
14400 0.324978 0.260237
15300 0.301642 0.229621
16200 0.296889 0.204472
17100 0.31331 0.231808
18000 0.31115 0.22306
18900 0.315903 0.207752
19800 0.344857 0.324749
20700 0.36949 0.40457
21600 0.365601 0.396916
22500 0.340536 0.437373
23400 0.321521 0.423158
24300 0.30121 0.40785
25200 0.243302 0.371767
26100 0.229041 0.338964
27000 0.234659 0.354272
27900 0.244598 0.36958
28800 0.224719 0.338964
29700 0.222558 0.345525
30600 0.219533 0.354272
31500 0.213915 0.342244
32400 0.223423 0.368487
33300 0.218669 0.349898
34200 0.213051 0.352085
35100 0.207001 0.333497
36000 0.213915 0.348805
36900 0.211322 0.349898
37800 0.207433 0.319282
38700 0.212187 0.344431
39600 0.212187 0.340057
40500 0.213051 0.338964
41400 0.219101 0.353179
42300 0.21478 0.349898
43200 0.211755 0.337871
44100 0.219965 0.354272
45000 0.212619 0.330217
45900 0.211755 0.330217
46800 0.218669 0.359739
47700 0.206137 0.314909
48600 0.212187 0.324749
49500 0.218669 0.356459
50400 0.203544 0.318189
51300 0.213051 0.32803
52200 0.317632 0.32803
53100 0.27701 0.303974
54000 0.302506 0.314909
54900 0.272688 0.311628
55800 0.258859 0.324749
56700 0.242437 0.341151
57600 0.256698 0.33131
58500 0.24503 0.330217
59400 0.245462 0.345525
60300 0.244598 0.341151
61200 0.260156 0.358646
62100 0.270527 0.368487
63000 0.255402 0.337871
63900 0.274849 0.353179
64800 0.268799 0.368487
65700 0.285653 0.330217
66600 0.269663 0.335684
67500 0.297321 0.356459
68400 0.277442 0.336777
69300 0.301642 0.353179
70200 0.260156 0.350992
71100 0.259723 0.358646
72000 0.261452 0.357552
72900 0.265774 0.342244
73800 0.261884 0.326936
74700 0.292567 0.348805
75600 0.254105 0.317095
76500 0.22299 0.340057
77400 0.22299 0.352085
78300 0.214347 0.324749
79200 0.21478 0.336777
80100 0.209594 0.342244
81000 0.204408 0.318189
81900 0.213483 0.346618
82800 0.209162 0.336777
83700 0.205704 0.338964
84600 0.209594 0.337871
85500 0.207865 0.333497
86400 0.205704 0.317095
87300 0.22299 0.375047
88200 0.214347 0.346618
89100 0.216508 0.358646
90000 0.220398 0.360833
90900 0.218669 0.347711
91800 0.187122 0.249303
92700 0.162921 0.172762
93600 0.160761 0.151987
94500 0.160328 0.154174
95400 0.163786 0.144333
96300 0.156439 0.129025
97200 0.158168 0.156361
98100 0.150821 0.126838
99000 0.151253 0.131212
99900 0.159896 0.147613
100800 0.150821 0.134492
101700 0.153414 0.133399
102600 0.156439 0.132305
103500 0.151253 0.124651
104400 0.155143 0.147613
105300 0.15255 0.135586
106200 0.187554 0.247116
107100 0.22083 0.360833
108000 0.221262 0.367393
108900 0.210026 0.333497
109800 0.222126 0.364113
110700 0.218669 0.349898
111600 0.22299 0.352085
112500 0.218237 0.355366
113400 0.220398 0.33131
114300 0.220398 0.326936
115200 0.226448 0.353179
116100 0.214347 0.313815
117000 0.222558 0.332403
117900 0.228176 0.32803
118800 0.225151 0.314909
119700 0.229905 0.341151
120600 0.228608 0.341151
121500 0.222126 0.316002
122400 0.239412 0.349898
123300 0.284788 0.33459
124200 0.311582 0.332403
125100 0.263613 0.335684
126000 0.258859 0.323656
126900 0.266206 0.324749
127800 0.266638 0.325843
128700 0.259291 0.332403
129600 0.309853 0.330217
130500 0.304235 0.305068
131400 0.271824 0.321469
132300 0.285653 0.332403
133200 0.249784 0.320376
134100 0.231634 0.325843
135000 0.224719 0.298507
135900 0.264909 0.33131
136800 0.265774 0.313815
137700 0.252809 0.318189
138600 0.260156 0.310535
139500 0.244598 0.308348
140400 0.246759 0.319282
141300 0.247191 0.316002
142200 0.247191 0.337871
143100 0.246327 0.343338
144000 0.258859 0.314909
144900 0.274849 0.33131
145800 0.286949 0.32803
146700 0.307692 0.347711
147600 0.276145 0.350992
148500 0.255402 0.338964
149400 0.259291 0.348805
150300 0.270527 0.347711
151200 0.295592 0.360833
152100 0.284356 0.355366
153000 0.286085 0.335684
153900 0.309421 0.345525
154800 0.310285 0.347711
155700 0.277442 0.347711
156600 0.318928 0.360833
157500 0.28306 0.330217
158400 0.283492 0.346618
159300 0.288245 0.340057
160200 0.272256 0.344431
161100 0.242869 0.326936
162000 0.23293 0.294133
162900 0.26102 0.312722
163800 0.272256 0.323656
164700 0.255402 0.317095
165600 0.239412 0.340057
166500 0.217373 0.316002
167400 0.215644 0.316002
168300 0.216508 0.326936
169200 0.208297 0.319282
170100 0.211755 0.33131
171000 0.213915 0.313815
171900 0.205272 0.298507
172800 0.207001 0.305068
173700 0.206137 0.312722
174600 0.203976 0.2996
175500 0.21089 0.309441
176400 0.203111 0.295227
177300 0.20484 0.318189
178200 0.173725 0.204472
179100 0.149957 0.115904
180000 0.146932 0.10825
180900 0.149092 0.110437
181800 0.155575 0.127932
182700 0.156007 0.120278
183600 0.14866 0.10497
184500 0.163354 0.133399
185400 0.153414 0.120278
186300 0.143042 0.103876
187200 0.15255 0.115904
188100 0.153414 0.122464
189000 0.146932 0.107156
189900 0.152118 0.123558
190800 0.144771 0.106063
191700 0.149092 0.112624
192600 0.178479 0.221967
193500 0.197061 0.286479
194400 0.200951 0.311628
195300 0.205704 0.308348
196200 0.205704 0.311628
197100 0.213051 0.324749
198000 0.212619 0.325843
198900 0.207865 0.313815
199800 0.215212 0.319282
200700 0.21089 0.305068
201600 0.213915 0.318189
202500 0.212619 0.326936
203400 0.204408 0.305068
204300 0.211322 0.313815
205200 0.206137 0.307254
206100 0.208297 0.312722
207000 0.203111 0.308348
207900 0.197494 0.291946
208800 0.201383 0.29632
209700 0.261452 0.320376
210600 0.291271 0.324749
211500 0.239412 0.319282
212400 0.238116 0.303974
213300 0.251945 0.333497
214200 0.243302 0.336777
215100 0.226016 0.313815
216000 0.231201 0.311628
216900 0.236387 0.278825
217800 0.24503 0.288666
218700 0.255834 0.295227
219600 0.242005 0.295227
220500 0.234659 0.317095
221400 0.241141 0.310535
222300 0.224719 0.2996
223200 0.229473 0.320376
224100 0.226016 0.295227
225000 0.220398 0.272265
225900 0.228608 0.287573
226800 0.22688 0.278825
227700 0.251513 0.29304
228600 0.242869 0.29632
229500 0.238116 0.2996
230400 0.239412 0.307254
231300 0.232498 0.29632
232200 0.227744 0.301787
233100 0.238548 0.350992
234000 0.24503 0.325843
234900 0.286085 0.307254
235800 0.28522 0.316002
236700 0.267502 0.330217
237600 0.268799 0.335684
238500 0.246327 0.295227
239400 0.242437 0.291946
240300 0.275281 0.2996
241200 0.279602 0.307254
242100 0.27312 0.29304
243000 0.299481 0.338964
243900 0.286085 0.298507
244800 0.270095 0.312722
245700 0.268799 0.307254
246600 0.261884 0.303974
247500 0.239844 0.288666
248400 0.236387 0.277732
249300 0.240277 0.277732
250200 0.232498 0.316002
251100 0.238116 0.28976
252000 0.22083 0.29304
252900 0.21089 0.300694
253800 0.203111 0.275545
254700 0.206137 0.286479
255600 0.209594 0.2996
256500 0.213915 0.303974
257400 0.217373 0.314909
258300 0.212187 0.308348
259200 0.20484 0.278825
260100 0.218237 0.319282
261000 0.211322 0.307254
261900 0.209162 0.2996
262800 0.212619 0.326936
263700 0.206569 0.287573
264600 0.181072 0.194631
265500 0.158168 0.120278
266400 0.140017 0.074353
267300 0.14261 0.086381
268200 0.149092 0.094035
269100 0.144771 0.074353
270000 0.149525 0.097315
270900 0.148228 0.097315
271800 0.152118 0.10497
272700 0.165082 0.131212
273600 0.153846 0.099502
274500 0.149092 0.095129
275400 0.161625 0.133399
276300 0.154278 0.098409
277200 0.154278 0.101689
278100 0.158168 0.109343
279000 0.17675 0.204472
279900 0.203976 0.28976
280800 0.219101 0.295227
281700 0.216076 0.277732
282600 0.257563 0.302881
283500 0.302939 0.278825
284400 0.32325 0.275545
285300 0.388937 0.276638
286200 0.444252 0.28976
287100 0.437338 0.29632
288000 0.446413 0.266797
