#1
# BEV Profile
# ID: 40
# Created: 2023-08-24 13:57:45.234681
# This table contains boolean values. Each value is valid for the time interval until next data point.
float	data(497,3)
0	1	0.0
111060	0	0.0
139680	1	0.2093
198300	0	0.0
228480	1	0.2853
289980	0	0.0
324360	1	0.2018
376560	0	0.0
403440	1	0.1341
461520	0	0.0
482040	1	0.3622
550380	0	0.0
588420	1	0.0436
716280	0	0.0
755940	1	0.231
805800	0	0.0
846300	1	0.2438
888240	0	0.0
934260	1	0.1199
979620	0	0.0
1006380	1	0.1927
1063080	0	0.0
1093080	1	0.2243
1236480	0	0.0
1271520	1	0.0339
1325760	0	0.0
1360620	1	0.1096
1404660	0	0.0
1437900	1	0.2234
1493520	0	0.0
1519620	1	0.1063
1583340	0	0.0
1604880	1	0.2536
1672500	0	0.0
1699860	1	0.2724
1926960	0	0.0
1949940	1	0.0532
2016120	0	0.0
2050740	1	0.0409
2099760	0	0.0
2133300	1	0.0512
2183520	0	0.0
2227620	1	0.1145
2273160	0	0.0
2296440	1	0.2811
2359740	0	0.0
2394660	1	0.0588
2442900	0	0.0
2466840	1	0.035
2617200	0	0.0
2648760	1	0.2746
2703660	0	0.0
2732400	1	0.2218
2793360	0	0.0
2821680	1	0.0556
2883420	0	0.0
2909160	1	0.0392
3053520	0	0.0
3074700	1	0.1136
3222840	0	0.0
3264300	1	0.1939
3315660	0	0.0
3348240	1	0.1164
3403980	0	0.0
3426240	1	0.0797
3494340	0	0.0
3509760	1	0.2679
3571920	0	0.0
3604560	1	0.0404
3659820	0	0.0
3688140	1	0.0849
3838560	0	0.0
3849120	1	0.2222
3920160	0	0.0
3940200	1	0.2107
4520820	0	0.0
4556880	1	0.0366
4609620	0	0.0
4640340	1	0.112
4697100	0	0.0
4725780	1	0.0519
4861260	0	0.0
4892160	1	0.0715
4957560	0	0.0
4976520	1	0.1269
5209680	0	0.0
5234880	1	0.0548
5291940	0	0.0
5333700	1	0.1989
5733060	0	0.0
5755020	1	0.2766
5817660	0	0.0
5853660	1	0.3147
5902200	0	0.0
5928600	1	0.2346
5994660	0	0.0
6030840	1	0.0341
6162000	0	0.0
6199920	1	0.2103
6241980	0	0.0
6275280	1	0.1346
6506520	0	0.0
6538920	1	0.1692
6592860	0	0.0
6613080	1	0.0352
6768840	0	0.0
6799440	1	0.1805
6853620	0	0.0
6879540	1	0.1021
6948900	0	0.0
6963960	1	0.0679
7115580	0	0.0
7144200	1	0.2617
7202880	0	0.0
7233420	1	0.0884
7373460	0	0.0
7404180	1	0.0957
7460940	0	0.0
7491540	1	0.1298
7626660	0	0.0
7656000	1	0.0453
7719420	0	0.0
7747740	1	0.1098
7802280	0	0.0
7835280	1	0.0568
7894860	0	0.0
7923240	1	0.1061
7973820	0	0.0
8012100	1	0.1329
8151600	0	0.0
8190420	1	0.1306
8245320	0	0.0
8256780	1	0.1303
8326260	0	0.0
8347020	1	0.128
8408100	0	0.0
8447460	1	0.064
8577780	0	0.0
8600040	1	0.1375
8668680	0	0.0
8692620	1	0.2361
8753220	0	0.0
8785440	1	0.0951
8841060	0	0.0
8868960	1	0.1598
8932920	0	0.0
8954040	1	0.2577
9100080	0	0.0
9131040	1	0.1088
9184860	0	0.0
9214080	1	0.2551
9271800	0	0.0
9304320	1	0.092
9362400	0	0.0
9378900	1	0.069
9440460	0	0.0
9460020	1	0.1203
9618420	0	0.0
9642900	1	0.1388
9706260	0	0.0
9736080	1	0.1114
9784680	0	0.0
9823920	1	0.0574
9965640	0	0.0
9991560	1	0.0918
10055700	0	0.0
10074540	1	0.1793
10142640	0	0.0
10176240	1	0.1128
10217940	0	0.0
10253340	1	0.0378
10310100	0	0.0
10331100	1	0.0245
10393320	0	0.0
10419360	1	0.3788
10568040	0	0.0
10590120	1	0.1692
10747260	0	0.0
10769940	1	0.1448
11088780	0	0.0
11120520	1	0.2236
11171340	0	0.0
11196480	1	0.2033
11254920	0	0.0
11305020	1	0.2002
11345100	0	0.0
11377440	1	0.0947
11432940	0	0.0
11468520	1	0.0492
11523180	0	0.0
11537880	1	0.108
11610000	0	0.0
11628060	1	0.1689
11691960	0	0.0
11730240	1	0.139
11866260	0	0.0
11885880	1	0.1579
11954160	0	0.0
11979540	1	0.0977
12045960	0	0.0
12062820	1	0.0433
12124200	0	0.0
12164340	1	0.0888
12210420	0	0.0
12251880	1	0.2136
12290820	0	0.0
12324000	1	0.1114
12470040	0	0.0
12499560	1	0.1616
12557460	0	0.0
12590700	1	0.1842
12646140	0	0.0
12688620	1	0.1075
12729000	0	0.0
12753840	1	0.071
12809400	0	0.0
12848820	1	0.0748
12901740	0	0.0
12930480	1	0.165
12985740	0	0.0
13013940	1	0.1315
13079520	0	0.0
13109100	1	0.2073
13165560	0	0.0
13193760	1	0.1274
13337460	0	0.0
13363260	1	0.0572
13418820	0	0.0
13451280	1	0.057
13592940	0	0.0
13616340	1	0.1676
13850220	0	0.0
13887720	1	0.082
14030460	0	0.0
14063580	1	0.1231
14107020	0	0.0
14127900	1	0.0522
