#1
# Source: DWD Weather data, HSU
# Location: Hameln
# Year: 2019
# Data type: Underground Moisture
float	default(365, 2)
0	79
86400	80
172800	81
259200	82
345600	86
432000	95
518400	102
604800	105
691200	106
777600	107
864000	107
950400	107
1036800	111
1123200	112
1209600	112
1296000	110
1382400	108
1468800	107
1555200	105
1641600	103
1728000	103
1814400	103
1900800	103
1987200	103
2073600	103
2160000	109
2246400	112
2332800	113
2419200	112
2505600	111
2592000	108
2678400	106
2764800	103
2851200	103
2937600	103
3024000	103
3110400	103
3196800	103
3283200	103
3369600	102
3456000	105
3542400	107
3628800	107
3715200	106
3801600	104
3888000	104
3974400	104
4060800	103
4147200	103
4233600	103
4320000	103
4406400	103
4492800	102
4579200	102
4665600	102
4752000	102
4838400	102
4924800	102
5011200	101
5097600	101
5184000	101
5270400	101
5356800	101
5443200	101
5529600	100
5616000	100
5702400	100
5788800	100
5875200	103
5961600	107
6048000	109
6134400	109
6220800	109
6307200	109
6393600	109
6480000	108
6566400	107
6652800	105
6739200	102
6825600	102
6912000	102
6998400	102
7084800	102
7171200	102
7257600	102
7344000	102
7430400	102
7516800	102
7603200	102
7689600	101
7776000	101
7862400	101
7948800	101
8035200	101
8121600	100
8208000	100
8294400	100
8380800	100
8467200	99
8553600	99
8640000	99
8726400	99
8812800	99
8899200	99
8985600	98
9072000	98
9158400	98
9244800	98
9331200	97
9417600	97
9504000	97
9590400	96
9676800	96
9763200	96
9849600	96
9936000	96
10022400	95
10108800	95
10195200	95
10281600	95
10368000	95
10454400	95
10540800	95
10627200	95
10713600	95
10800000	95
10886400	94
10972800	94
11059200	94
11145600	94
11232000	94
11318400	94
11404800	94
11491200	94
11577600	94
11664000	94
11750400	93
11836800	93
11923200	93
12009600	93
12096000	93
12182400	93
12268800	93
12355200	93
12441600	92
12528000	92
12614400	92
12700800	92
12787200	92
12873600	92
12960000	92
13046400	92
13132800	91
13219200	91
13305600	91
13392000	91
13478400	91
13564800	91
13651200	91
13737600	90
13824000	90
13910400	90
13996800	90
14083200	90
14169600	90
14256000	90
14342400	90
14428800	89
14515200	89
14601600	89
14688000	89
14774400	89
14860800	89
14947200	88
15033600	88
15120000	88
15206400	88
15292800	88
15379200	87
15465600	87
15552000	87
15638400	87
15724800	87
15811200	87
15897600	86
15984000	86
16070400	86
16156800	86
16243200	86
16329600	86
16416000	86
16502400	86
16588800	86
16675200	86
16761600	86
16848000	86
16934400	86
17020800	86
17107200	86
17193600	86
17280000	86
17366400	86
17452800	86
17539200	86
17625600	85
17712000	85
17798400	85
17884800	85
17971200	84
18057600	84
18144000	84
18230400	84
18316800	84
18403200	84
18489600	84
18576000	84
18662400	84
18748800	84
18835200	84
18921600	83
19008000	83
19094400	83
19180800	83
19267200	83
19353600	83
19440000	83
19526400	83
19612800	83
19699200	83
19785600	83
19872000	82
19958400	82
20044800	82
20131200	82
20217600	82
20304000	82
20390400	82
20476800	82
20563200	81
20649600	81
20736000	81
20822400	81
20908800	81
20995200	81
21081600	81
21168000	81
21254400	81
21340800	81
21427200	81
21513600	81
21600000	81
21686400	80
21772800	80
21859200	80
21945600	80
22032000	80
22118400	80
22204800	80
22291200	80
22377600	80
22464000	80
22550400	80
22636800	80
22723200	80
22809600	80
22896000	80
22982400	80
23068800	80
23155200	79
23241600	79
23328000	79
23414400	79
23500800	79
23587200	79
23673600	79
23760000	79
23846400	78
23932800	77
24019200	76
24105600	76
24192000	75
24278400	75
24364800	74
24451200	74
24537600	74
24624000	74
24710400	74
24796800	81
24883200	103
24969600	108
25056000	109
25142400	109
25228800	110
25315200	110
25401600	110
25488000	108
25574400	105
25660800	102
25747200	103
25833600	103
25920000	103
26006400	102
26092800	102
26179200	102
26265600	102
26352000	102
26438400	102
26524800	102
26611200	102
26697600	102
26784000	102
26870400	103
26956800	103
27043200	103
27129600	103
27216000	103
27302400	103
27388800	103
27475200	103
27561600	103
27648000	104
27734400	105
27820800	107
27907200	107
27993600	107
28080000	105
28166400	104
28252800	104
28339200	103
28425600	103
28512000	103
28598400	103
28684800	103
28771200	103
28857600	103
28944000	103
29030400	103
29116800	103
29203200	103
29289600	103
29376000	103
29462400	103
29548800	104
29635200	104
29721600	106
29808000	108
29894400	108
29980800	109
30067200	109
30153600	109
30240000	108
30326400	107
30412800	106
30499200	105
30585600	102
30672000	103
30758400	103
30844800	105
30931200	106
31017600	107
31104000	107
31190400	105
31276800	103
31363200	103
31449600	103
