#1
# Source: DWD Weather data, ieet, TUHH (DWD COSMO-D2)
# Location: latitude 52.1, longitude 9.35
# Year: 2019
# Data type: Solar_Diff
float	default(8760, 2)
0	0.0
3600	0.0
7200	0.0
10800	0.0
14400	0.0
18000	0.0
21600	0.0
25200	0.0
28800	0.744141
32400	4.05859
36000	36.8847
39600	82.0748
43200	19.781
46800	70.8399
50400	45.6016
54000	5.80859
57600	0.0
61200	0.0
64800	0.0
68400	0.0
72000	0.0
75600	0.0
79200	0.0
82800	0.0
86400	0.0
90000	0.0
93600	0.0
97200	0.0
100800	0.0
104400	0.0
108000	0.0
111600	0.0
115200	16.1035
118800	51.707
122400	70.3856
126000	78.5857
129600	77.9731
133200	68.4489
136800	48.2969
140400	11.5
144000	0.0
147600	0.0
151200	0.0
154800	0.0
158400	0.0
162000	0.0
165600	0.0
169200	0.0
172800	0.0
176400	0.0
180000	0.0
183600	0.0
187200	0.0
190800	0.0
194400	0.0
198000	0.0
201600	8.12695
205200	62.2148
208800	69.8824
212400	93.4151
216000	94.7105
219600	79.9621
223200	64.5156
226800	10.9297
230400	0.0
234000	0.0
237600	0.0
241200	0.0
244800	0.0
248400	0.0
252000	0.0
255600	0.0
259200	0.0
262800	0.0
266400	0.0
270000	0.0
273600	0.0
277200	0.0
280800	0.0
284400	0.0
288000	5.15625
291600	17.0352
295200	59.9535
298800	73.8731
302400	47.6298
306000	23.9497
309600	14.3516
313200	1.24805
316800	0.0
320400	0.0
324000	0.0
327600	0.0
331200	0.0
334800	0.0
338400	0.0
342000	0.0
345600	0.0
349200	0.0
352800	0.0
356400	0.0
360000	0.0
363600	0.0
367200	0.0
370800	0.0
374400	0.652344
378000	2.75
381600	4.33737
385200	5.00089
388800	6.22581
392400	3.98811
396000	3.66406
399600	1.31641
403200	0.0
406800	0.0
410400	0.0
414000	0.0
417600	0.0
421200	0.0
424800	0.0
428400	0.0
432000	0.0
435600	0.0
439200	0.0
442800	0.0
446400	0.0
450000	0.0
453600	0.0
457200	0.0
460800	1.14062
464400	15.6875
468000	77.0977
471600	29.0833
475200	21.4059
478800	82.6321
482400	11.4327
486000	1.50391
489600	0.0
