#1
# Source: DWD Weather data, ieet, TUHH (DWD COSMO-D2)
# Location: latitude 52.1, longitude 9.35
# Year: 2019
# Data type: Solar_Diff
Forecast at 6h for 9h to 9h of following day
float	default(8760, 2)
0	0.00622559
3600	0.0
7200	0.00517273
10800	0.0071106
14400	0.0
18000	0.0119324
21600	0.0119324
25200	0.22287
28800	5.39224
32400	12.3402
36000	75.7915
39600	96.9153
43200	78.9182
46800	59.2405
50400	30.2573
54000	1.02539
57600	0.03479
61200	0.0
64800	0.0245667
68400	0.000976562
72000	0.0242615
75600	0.0
79200	0.010437
82800	0.0220337
86400	0.0
90000	0.00436401
93600	0.0
97200	0.00234985
100800	0.0179443
104400	0.0100708
108000	0.0
111600	3.36075
115200	36.3675
118800	62.4164
122400	75.4797
126000	78.8735
129600	73.7979
133200	59.3402
136800	31.4963
140400	1.41904
144000	0.00421143
147600	0.0311279
151200	0.00939941
154800	0.020874
158400	0.0
162000	0.00686646
165600	0.0379944
169200	0.0
172800	0.0085144
176400	0.000640869
180000	0.0
183600	0.0171509
187200	0.0
190800	0.0209656
194400	0.0
198000	1.75134
201600	31.81
205200	57.7647
208800	105.652
212400	87.284
216000	99.6939
219600	64.1418
223200	34.8424
226800	1.69443
230400	0.0232849
234000	0.038269
237600	0.0085144
241200	0.0159912
244800	0.00582886
248400	0.00958252
252000	0.0327759
255600	0.00915527
259200	0.0
262800	0.0186768
266400	0.00582886
270000	0.00579834
273600	0.00863647
277200	0.0144043
280800	0.0085144
284400	1.1745
288000	10.6108
291600	41.8046
295200	85.9212
298800	116.625
302400	79.2632
306000	33.6225
309600	6.41818
313200	0.244873
316800	0.0295715
320400	0.0135803
324000	0.0171814
327600	0.0169678
331200	0.0
334800	0.0264282
338400	0.0
342000	0.024231
345600	0.0
349200	0.0201416
352800	0.0
356400	0.0161743
360000	0.00436401
363600	0.0
367200	0.0228271
370800	0.075592
374400	1.43903
378000	3.2827
381600	4.61904
385200	4.84638
388800	5.08367
392400	5.90316
396000	5.50741
399600	0.275927
403200	0.0163307
406800	0.00839996
410400	0.000495911
414000	0.0
417600	0.0101318
421200	0.00227737
424800	0.0
428400	0.0022049
432000	0.000226974
435600	0.0158329
439200	0.0
442800	0.0
446400	0.00308228
450000	0.00502396
453600	0.0
457200	0.337465
460800	4.75873
464400	12.1322
468000	23.9111
471600	15.9413
475200	14.5301
478800	9.95425
482400	2.91274
486000	0.127518
489600	0.00513458
493200	0.0
496800	0.0106201
500400	0.0
504000	0.0260315
507600	0.0
511200	0.0
514800	0.00630188
518400	0.0160141
522000	0.0120773
525600	0.0
529200	0.00810242
532800	0.0
536400	0.00708008
540000	0.00608063
543600	0.513885
547200	5.18227
550800	14.0029
554400	7.66176
558000	30.336
561600	23.5141
565200	8.76486
568800	3.93293
572400	0.258331
576000	0.0
579600	0.00287628
583200	0.0
586800	0.00848389
590400	0.0
594000	0.023941
597600	0.0
601200	0.0
604800	0.0198822
608400	0.0
612000	0.017868
615600	0.00221252
619200	0.0109863
622800	0.0
626400	0.0109558
630000	0.977722
633600	12.6057
637200	34.5055
640800	54.4548
644400	57.2803
648000	37.8135
651600	13.4304
655200	6.95445
658800	0.731781
662400	0.0113831
666000	0.0150452
669600	0.00701904
673200	0.00294495
676800	0.0
680400	0.0183258
684000	0.000671387
687600	0.000579834
691200	0.000534058
694800	0.0
698400	0.0199585
702000	0.0
705600	0.0159912
709200	0.00227356
712800	0.00323486
716400	1.64514
720000	22.9301
723600	61.0349
727200	59.1092
730800	55.7062
734400	42.2809
738000	21.9535
741600	10.5599
745200	0.694946
748800	0.0282898
752400	0.0238953
756000	0.0
759600	0.0134277
763200	0.00933838
766800	0.0208435
770400	0.0
774000	0.0166321
777600	0.00289917
781200	0.0
784800	0.00762939
788400	0.00552368
792000	0.0
795600	0.00640869
799200	0.00930786
802800	2.03632
806400	18.4052
810000	87.323
813600	113.163
817200	94.6156
820800	79.9747
824400	72.3187
828000	44.2043
831600	4.22028
835200	0.000793457
838800	0.0396729
842400	0.0123291
846000	0.00830078
849600	0.0394287
853200	0.012146
856800	0.0
860400	0.0256958
864000	0.0100098
867600	0.0
871200	0.00994873
874800	0.00219727
878400	0.0196533
882000	0.00799561
885600	0.0098877
889200	0.189575
892800	3.58179
896400	11.0048
900000	10.9976
903600	26.1561
907200	13.7062
910800	7.71468
914400	5.81149
918000	0.408707
921600	0.0137329
925200	0.00558472
928800	0.0209503
932400	0.0
936000	0.0205841
939600	0.0
943200	0.0
946800	0.0
950400	0.0279922
954000	0.0
957600	0.0
961200	0.0
964800	0.00922394
968400	0.0189667
972000	0.000358582
975600	1.04712
979200	9.87971
982800	24.7586
986400	20.6133
990000	15.896
993600	17.2081
997200	20.8158
1000800	9.5366
1004400	0.688354
1008000	0.00392151
1011600	0.0153275
1015200	0.00138855
1018800	0.00120544
1022400	0.0
1026000	0.0145721
1029600	0.0
1033200	0.00656891
1036800	0.0201569
1040400	0.00447845
1044000	0.0
1047600	0.00827026
1051200	0.00823975
1054800	0.00820923
1058400	0.00037384
1062000	0.645622
1065600	1.95742
1069200	14.4979
1072800	6.68497
1076400	7.35212
1080000	3.99796
1083600	2.30357
1087200	2.26842
1090800	0.256977
1094400	0.0
1098000	0.0278549
1101600	0.0
1105200	0.0
1108800	0.0159454
1112400	0.000282288
1116000	0.0
1119600	0.0178032
1123200	0.0
1126800	0.00603485
1130400	0.011879
1134000	0.00405502
1137600	0.0
1141200	0.00989151
1144800	0.0
1148400	4.7917
1152000	43.9473
1155600	93.8091
1159200	128.18
1162800	135.963
1166400	126.757
1170000	39.3611
1173600	35.6393
1177200	5.44043
1180800	0.0330811
1184400	0.02948
1188000	0.017395
1191600	0.00933838
1195200	0.00720215
1198800	0.0109253
1202400	0.0147095
1206000	0.0301514
1209600	0.0
1213200	0.00854492
1216800	0.0280151
1220400	0.0
1224000	0.00836182
1227600	0.00836182
1231200	0.0151367
1234800	0.677612
1238400	12.7661
1242000	47.8337
1245600	53.0945
1249200	39.4131
1252800	57.3183
1256400	41.6902
1260000	24.3207
1263600	1.81287
1267200	0.0445862
1270800	0.0
1274400	0.0148315
1278000	0.00286865
1281600	0.00283813
1285200	0.0144043
1288800	0.0
1292400	0.00839233
1296000	0.0083313
1299600	0.00436401
1303200	0.0238647
1306800	0.0
1310400	0.0198669
1314000	0.0
1317600	0.00125122
1321200	1.87234
