#1
# Source: DWD Weather data, ieet, TUHH (DWD COSMO-D2)
# Location: latitude 52.1, longitude 9.35
# Year: 2019
# Data type: Solar_Dir
Forecast at 6h for 9h to 9h of following day
float	default(8760, 2)
0	0.0
3600	0.0
7200	0.0
10800	0.0
14400	0.0
18000	0.0
21600	0.0
25200	0.0
28800	8.75173e-11
32400	0.0
36000	20.9375
39600	34.1406
43200	81.6406
46800	51.0
50400	8.03125
54000	0.0117188
57600	0.0253906
61200	0.00976562
64800	0.0
68400	0.0214844
72000	0.0
75600	0.0214844
79200	0.0
82800	0.0214844
86400	0.00585938
90000	0.0
93600	0.00878906
97200	0.000976562
100800	0.00683594
104400	0.0
108000	0.00488281
111600	0.139648
115200	17.6621
118800	65.042
122400	106.73
126000	120.789
129600	101.977
133200	58.0586
136800	12.834
140400	0.0332031
144000	0.0253906
147600	0.0292969
151200	0.015625
154800	0.015625
158400	0.0214844
162000	0.0
165600	0.0253906
169200	0.0
172800	0.0
176400	0.0117188
180000	0.0175781
183600	0.0
187200	0.000976562
190800	0.0166016
194400	0.00390625
198000	0.0
201600	0.0410156
205200	0.988281
208800	33.5566
212400	96.834
216000	44.0234
219600	46.4922
223200	9.4043
226800	0.0136719
230400	0.0136719
234000	0.0136719
237600	0.00195312
241200	0.00585938
244800	0.00390625
248400	0.0117188
252000	0.00390625
255600	0.00195312
259200	0.00585938
262800	0.015625
266400	0.0
270000	0.015625
273600	0.0
277200	0.0
280800	0.00878906
284400	0.0
288000	0.0
291600	0.453125
295200	0.621094
298800	5.69922
302400	0.390625
306000	0.0
309600	0.0
313200	0.0
316800	0.00585938
320400	0.0
324000	0.0117188
327600	0.00390625
331200	0.0
334800	0.0078125
338400	0.015625
342000	0.0
345600	0.0078125
349200	0.00585938
352800	0.0
356400	0.0
360000	0.0107422
363600	0.0
367200	0.00488281
370800	0.00683594
374400	0.0117188
378000	0.0
381600	0.0
385200	0.0
388800	0.0
392400	0.0
396000	0.0
399600	0.0
403200	0.0
406800	0.0
410400	0.0
414000	0.0
417600	0.0
421200	0.0
424800	0.0
428400	0.0
432000	0.0
435600	0.0
439200	0.0
442800	0.0
446400	0.0
