#1
# Source: DWD Weather data, ieet, TUHH (DWD COSMO-D2)
# Location: latitude 52.1, longitude 9.35
# Year: 2019
# Data type: Temp
Forecast at 6h for 9h to 9h of following day
float	default(8760, 2)
0	280.424
3600	280.373
7200	280.227
10800	280.025
14400	279.838
18000	279.722
21600	279.604
25200	279.648
28800	279.57
32400	279.864
36000	280.171
39600	280.841
43200	280.573
46800	279.962
50400	279.37
54000	278.974
57600	279.045
61200	278.423
64800	277.701
68400	277.316
72000	276.835
75600	276.098
79200	275.539
82800	274.984
86400	275.158
90000	275.242
93600	274.788
97200	274.208
100800	273.882
104400	273.783
108000	273.755
111600	273.591
115200	273.394
118800	274.294
122400	274.162
126000	274.294
129600	274.411
133200	274.331
136800	273.989
140400	273.573
144000	273.328
147600	272.74
151200	272.337
154800	272.065
158400	271.801
162000	271.387
165600	270.962
169200	270.503
172800	270.472
176400	271.211
180000	271.61
183600	272.325
187200	272.7
190800	272.682
194400	272.582
198000	272.611
201600	272.708
205200	271.216
208800	272.25
212400	272.807
216000	273.55
219600	273.715
223200	273.604
226800	273.446
230400	273.089
234000	272.661
237600	272.458
241200	272.372
244800	272.066
248400	271.78
252000	271.513
255600	270.999
259200	270.798
262800	270.696
266400	270.598
270000	270.625
273600	271.272
277200	271.723
280800	272.168
284400	272.56
288000	272.948
291600	273.051
295200	273.644
298800	275.093
302400	275.241
306000	275.178
309600	275.145
313200	274.913
316800	274.831
320400	275.016
324000	274.966
327600	275.141
331200	275.801
334800	276.847
338400	276.889
342000	277.295
345600	277.564
349200	277.996
352800	278.412
356400	278.645
360000	279.009
363600	279.32
367200	279.503
370800	279.529
374400	279.446
378000	279.673
381600	280.193
385200	280.247
388800	280.225
392400	280.283
396000	280.212
399600	280.177
403200	280.14
406800	280.075
410400	280.0
414000	279.809
417600	279.762
421200	279.732
424800	279.624
428400	279.562
432000	279.445
435600	279.306
439200	279.244
442800	279.028
446400	278.931
450000	278.869
453600	278.809
457200	278.712
460800	278.711
464400	278.538
468000	278.788
471600	278.973
475200	278.968
478800	279.023
482400	279.145
486000	279.036
489600	279.047
493200	279.111
496800	279.127
500400	278.785
504000	278.712
507600	278.629
511200	278.49
514800	278.213
518400	278.101
522000	277.95
525600	277.795
529200	277.774
532800	277.822
536400	277.803
540000	277.727
543600	277.649
547200	277.589
550800	277.524
554400	277.592
558000	277.488
561600	277.749
565200	277.708
568800	277.631
572400	277.758
576000	277.942
579600	278.28
583200	278.568
586800	278.765
590400	278.851
594000	278.843
597600	278.904
601200	279.394
604800	279.79
608400	279.923
612000	279.699
615600	279.379
619200	278.9
622800	278.593
626400	278.499
630000	278.427
633600	278.26
637200	278.404
640800	278.923
644400	279.177
648000	279.359
651600	278.769
655200	278.544
658800	278.151
662400	277.736
666000	276.898
669600	277.446
673200	277.116
676800	276.404
680400	277.004
684000	276.615
687600	276.199
691200	275.536
694800	275.33
698400	275.386
702000	275.323
705600	275.078
709200	274.811
712800	274.57
716400	274.332
720000	274.145
723600	274.049
727200	274.334
730800	274.417
734400	274.419
738000	274.497
741600	274.353
745200	274.282
748800	274.103
752400	274.167
756000	274.104
759600	274.063
763200	273.921
766800	273.753
770400	273.745
774000	273.706
777600	273.635
781200	273.629
784800	273.602
788400	273.503
792000	273.386
795600	273.155
