#1
# Source: DWD Weather data, ieet, TUHH (DWD COSMO-D2)
# Location: latitude 52.1, longitude 9.35
# Year: 2019
# Data type: Temperature Underground
float	default(7098, 2)
0	279.75
3600	279.75
7200	279.75
10800	279.75
14400	279.75
18000	279.75
21600	279.75
25200	279.75
28800	279.75
32400	279.75
36000	279.75
39600	279.75
43200	279.85
46800	279.85
50400	279.85
54000	279.85
57600	279.85
61200	279.85
64800	279.85
68400	279.85
72000	279.85
75600	279.85
79200	279.85
82800	279.85
86400	279.85
90000	279.95
93600	279.95
97200	279.95
100800	279.95
104400	279.95
108000	279.95
111600	279.95
115200	279.95
118800	279.95
122400	279.95
126000	279.95
129600	279.95
133200	279.95
136800	279.95
140400	279.95
144000	279.95
147600	279.95
151200	279.95
154800	279.95
158400	279.95
162000	279.95
165600	279.95
169200	279.95
172800	279.95
176400	279.95
180000	279.95
183600	279.85
187200	279.85
190800	279.85
194400	279.85
198000	279.85
201600	279.85
205200	279.85
208800	279.85
212400	279.85
216000	279.85
219600	279.75
223200	279.75
226800	279.75
230400	279.75
234000	279.75
237600	279.75
241200	279.75
244800	279.65
248400	279.65
252000	279.65
255600	279.65
259200	279.65
262800	279.65
266400	279.55
270000	279.55
273600	279.55
277200	279.55
280800	279.55
284400	279.55
288000	279.45
291600	279.45
295200	279.45
298800	279.45
302400	279.45
306000	279.45
309600	279.35
313200	279.35
316800	279.35
320400	279.35
324000	279.35
327600	279.35
331200	279.25
334800	279.25
338400	279.25
342000	279.25
345600	279.25
349200	279.25
352800	279.15
356400	279.15
360000	279.15
363600	279.15
367200	279.15
370800	279.15
374400	279.05
378000	279.05
381600	279.05
385200	279.05
388800	279.05
392400	279.05
396000	279.05
399600	279.05
403200	279.05
406800	278.95
410400	278.95
414000	278.95
417600	278.95
421200	278.95
424800	278.95
428400	278.95
432000	278.95
435600	278.95
439200	278.95
442800	278.95
446400	278.95
450000	278.95
453600	278.95
457200	279.05
460800	279.05
464400	279.05
468000	279.05
471600	279.05
475200	279.05
478800	279.05
482400	279.05
486000	279.05
489600	279.05
493200	279.05
496800	279.05
500400	279.05
504000	279.05
507600	279.15
511200	279.15
514800	279.15
518400	279.15
522000	279.15
525600	279.15
529200	279.15
532800	279.15
536400	279.15
540000	279.15
543600	279.15
547200	279.25
550800	279.25
554400	279.25
558000	279.25
561600	279.25
565200	279.25
568800	279.25
572400	279.25
576000	279.25
579600	279.25
583200	279.25
586800	279.25
590400	279.25
594000	279.35
597600	279.35
601200	279.35
604800	279.35
608400	279.35
612000	279.35
615600	279.35
619200	279.35
622800	279.35
626400	279.35
630000	279.35
633600	279.35
637200	279.35
640800	279.35
644400	279.35
648000	279.35
651600	279.35
655200	279.35
658800	279.35
662400	279.35
666000	279.45
669600	279.45
673200	279.45
676800	279.45
680400	279.45
684000	279.45
687600	279.45
691200	279.45
694800	279.45
698400	279.45
702000	279.45
705600	279.45
709200	279.45
712800	279.45
716400	279.45
720000	279.45
723600	279.45
727200	279.45
